fake_artist_id	artist_name	fake_track_id	track_title	date_time	elapsed_seconds	play_source	fake_listener_id
245237	2 Chainz	895745	Bff	2019-02-08 6:5:56	250	Autoplay	53
245237	2 Chainz	690793	Starter Kit (feat. Young Dolph)	2019-02-08 5:46:51	166	All Artist Tracks	82
552933	Machel Montano	932803	Blazin' D Trail	2019-02-08 3:52:32	277	Playlist	43
27915	Animosity	523051	Terror Storm	2019-02-08 0:51:37	228	Playlist	60
394231	Blackmill	201155	Spirit of Life	2019-02-08 19:40:22	295	Thumbed Down Track	59
624737	Brooklyn Duo	740168	Nothing Else Matters	2019-02-08 1:3:34	78	Station	88
624737	Brooklyn Duo	148318	Closer	2019-02-08 9:36:53	237	Playlist	52
692029	Ralph Harris	358404	Learning My Lesson	2019-02-08 17:7:29	82	Collections	18
47807	Ron Pope	362685	I Believe	2019-02-08 14:51:4	260	Station	9
47807	Ron Pope	912875	October Trees	2019-02-08 22:36:49	166	Playlist	77
47807	Ron Pope	48903	A Drop in the Ocean	2019-02-08 6:21:48	131	Thumbed Up Track	50
47807	Ron Pope	713544	Twin Falls Idaho	2019-02-08 2:59:19	227	Station	73
47807	Ron Pope	462075	Texas Wildflower Honey	2019-02-08 21:47:4	183	All Artist Tracks	81
164904	Michael Silverman	768846	Clair De Lune	2019-02-08 14:24:15	296	Autoplay	12
164904	Michael Silverman	288757	Hope	2019-02-08 11:40:29	257	All Artist Tracks	38
164904	Michael Silverman	901504	Greensleeves	2019-02-08 17:44:48	217	All Artist Tracks	74
164904	Michael Silverman	497911	Piano Seasons, Part 2: Summer	2019-02-08 13:43:56	196	Collections	29
164904	Michael Silverman	699288	Moonlight Sonata	2019-02-08 18:12:4	80	Collections	69
164904	Michael Silverman	651482	Sleeping Beauty	2019-02-08 16:21:1	79	Station	95
164904	Michael Silverman	916138	Eclipse	2019-02-08 19:11:51	280	Album	49
164904	Michael Silverman	79209	Pluvio	2019-02-08 20:38:7	9	Collections	5
164904	Michael Silverman	246651	The Moon Under Water	2019-02-08 16:26:8	53	Playlist	52
