fake_listener_id	age	gender	subscription_type	country	fake_zipcode
1	65+	Unknown	Plus	US	30063
2	65+	M	Plus	US	77396
3	18-25	M	Premium	US	86662
4	18-25	F	Premium-family-plan	US	29111
5	26-40	F	Ad-supported	US	9978
6	40-55	F	Ad-supported	US	51674
7	40-55	Unknown	Premium-family-plan	US	95275
8	40-55	F	Plus	US	44978
9	26-40	M	Plus	US	70024
10	65+	M	Premium	US	8462
11	65+	Unknown	Premium	US	28829
12	18-25	F	Ad-supported	US	47637
13	18-25	M	Plus	US	44591
14	65+	M	Premium	US	15091
15	18-25	M	Premium	US	95099
16	18-25	Unknown	Ad-supported	US	11141
17	65+	F	Ad-supported	US	90045
18	26-40	M	Plus	US	10442
19	18-25	F	Premium	US	2337
20	40-55	Unknown	Premium-family-plan	US	74967
21	40-55	F	Ad-supported	US	87381
22	40-55	M	Ad-supported	US	69577
23	40-55	M	Ad-supported	US	24912
24	18-25	F	Premium-family-plan	US	74142
25	18-25	Unknown	Ad-supported	US	35628
26	18-25	Unknown	Premium	US	11891
27	40-55	Unknown	Premium-family-plan	US	63555
28	18-25	M	Premium-family-plan	US	41599
29	65+	F	Plus	US	13868
30	26-40	Unknown	Premium-family-plan	US	81244
31	26-40	Unknown	Ad-supported	US	13922
32	40-55	M	Premium	US	35184
33	40-55	F	Ad-supported	US	60764
34	65+	M	Ad-supported	US	12412
35	40-55	Unknown	Premium	US	31470
36	18-25	F	Premium	US	39400
37	40-55	Unknown	Premium-family-plan	US	89315
38	18-25	M	Premium-family-plan	US	37322
39	40-55	F	Premium-family-plan	US	57829
40	65+	F	Premium	US	72025
41	26-40	Unknown	Ad-supported	US	75838
42	65+	M	Premium-family-plan	US	22986
43	40-55	Unknown	Premium	US	26495
44	26-40	F	Premium-family-plan	US	1747
45	18-25	Unknown	Plus	US	3838
46	26-40	M	Ad-supported	US	56476
47	26-40	F	Plus	US	45192
48	65+	M	Premium	US	42
49	65+	M	Plus	US	33060
50	65+	F	Premium-family-plan	US	93510
51	65+	M	Ad-supported	US	39102
52	40-55	M	Plus	US	31419
53	18-25	M	Plus	US	40581
54	40-55	Unknown	Ad-supported	US	16886
55	18-25	M	Ad-supported	US	54772
56	18-25	F	Plus	US	64484
57	40-55	F	Ad-supported	US	49392
58	65+	F	Plus	US	30663
59	18-25	F	Ad-supported	US	39126
60	26-40	M	Premium-family-plan	US	3935
61	65+	M	Plus	US	53905
62	18-25	Unknown	Premium	US	5838
63	65+	M	Premium	US	89506
64	65+	M	Plus	US	52131
65	65+	F	Premium-family-plan	US	86851
66	18-25	F	Premium	US	70947
67	65+	F	Ad-supported	US	95003
68	40-55	Unknown	Ad-supported	US	78923
69	65+	Unknown	Premium-family-plan	US	61558
70	26-40	F	Plus	US	79190
71	18-25	F	Plus	US	38310
72	26-40	F	Premium	US	87891
73	65+	F	Plus	US	32486
74	18-25	Unknown	Plus	US	97775
75	40-55	F	Plus	US	33404
76	18-25	F	Ad-supported	US	66793
77	65+	Unknown	Plus	US	7155
78	26-40	F	Premium-family-plan	US	13831
79	40-55	F	Premium-family-plan	US	92891
80	18-25	M	Ad-supported	US	53413
81	18-25	M	Premium	US	2104
82	40-55	M	Premium	US	91182
83	65+	Unknown	Ad-supported	US	96369
84	40-55	Unknown	Premium-family-plan	US	72871
85	18-25	F	Premium-family-plan	US	79731
86	18-25	Unknown	Ad-supported	US	69007
87	18-25	F	Ad-supported	US	20027
88	65+	Unknown	Premium-family-plan	US	81071
89	40-55	F	Premium	US	53724
90	18-25	M	Premium-family-plan	US	67277
91	65+	M	Premium	US	48058
92	40-55	Unknown	Plus	US	67879
93	26-40	Unknown	Ad-supported	US	11578
94	40-55	M	Premium-family-plan	US	54153
95	26-40	Unknown	Premium	US	70794
96	18-25	F	Premium	US	38846
97	26-40	F	Premium-family-plan	US	4606
98	26-40	M	Ad-supported	US	7939
99	26-40	Unknown	Premium-family-plan	US	66056
100	65+	M	Premium-family-plan	US	50948
